Artist,Views,Stream
Post Malone,6394420209.0,15251263853.0
Ed Sheeran,15460207769.0,14394881557.0
Dua Lipa,8216339307.0,13408076274.0
XXXTENTACION,2546374320.0,13224351699.0
The Weeknd,7046033154.0,13031973376.0
Justin Bieber,10991060236.0,12097767422.0
Imagine Dragons,9093785238.0,11858310928.0
Coldplay,9997277884.0,11778478236.0
Khalid,5398246275.0,11386839915.0
Bruno Mars,10240919227.0,10897862950.0
Ariana Grande,4458245963.0,10857411888.0
Billie Eilish,4821568774.0,10747172641.0
Maroon 5,8311252330.0,10722507616.0
The Chainsmokers,5442223889.0,10396701259.0
Shawn Mendes,7351044343.0,10111313728.0
Eminem,9119323710.0,9748587734.0
Calvin Harris,9758476139.0,9548541851.0
Queen,4709051071.0,9384533757.0
Harry Styles,2606495753.0,9347207610.0
Olivia Rodrigo,1493533440.0,8854208227.0
Halsey,4003996673.0,8835926429.0
Rihanna,8067026710.0,8572666958.0
Avicii,5117023297.0,8523309597.0
Camila Cabello,4008163546.0,8418823243.0
Lil Nas X,4119262237.0,8135167670.0
Marshmello,3025995808.0,8106855915.0
Adele,5923357240.0,8046680866.0
Sam Smith,4855571478.0,7952335176.0
Bad Bunny,3511415633.0,7767438098.0
DJ Snake,9180268355.0,7739462799.0
Sia,8441835336.0,7368343516.0
Arctic Monkeys,2299622789.0,7284386122.0
J Balvin,8464877693.0,7138949876.0
Kendrick Lamar,1993348461.0,7113441426.0
Juice WRLD,2327559064.0,7097430333.0
Lady Gaga,6318681691.0,7073231174.0
Charlie Puth,12167594191.0,7041186648.0
Twenty One Pilots,7422772719.0,6994502319.0
Red Hot Chili Peppers,4061566003.0,6796467307.0
Swae Lee,4449903605.0,6747047337.0
Drake,1822165166.0,6662057819.0
Doja Cat,1551042639.0,6614680170.0
Katy Perry,13120632075.0,6607328698.0
Kanye West,1722282159.0,6517926443.0
Nicki Minaj,8017064073.0,6456929603.0
One Direction,6337601549.0,6454400357.0
Bebe Rexha,4216687620.0,6379087521.0
Travis Scott,2501253806.0,6373169661.0
BTS,5607867002.0,6367910267.0
Linkin Park,5685069890.0,6362408820.0
Lewis Capaldi,1173777877.0,6302144072.0
J. Cole,915778736.0,6162421576.0
Macklemore,3978221640.0,5949945834.0
AC/DC,3377765872.0,5941405897.0
Miley Cyrus,4400196355.0,5902807705.0
Migos,3930333524.0,5780956131.0
DaBaby,2081852502.0,5736052602.0
Clean Bandit,5910481369.0,5731256397.0
Wiz Khalifa,8477702349.0,5653365608.0
Cardi B,4021026248.0,5585396623.0
Selena Gomez,4070868873.0,5580137870.0
