pais;lat;lon
United States;370.902;-957.129
United Kingdom;515.099;-0.1180
Spain;404.637;-37.492
Colombia;45.709;-742.973
Nigeria;90.820;86.753
France;466.035;18.884
Canada;561.304;-1.063.468
Argentina;-384.161;-636.167
Puerto Rico;182.208;-665.901
South Korea;359.078;1.277.669
Australia;-252.744;1.337.751
Sweden;601.282;186.435
Belgium;508.503;43.517
Italy;418.719;125.674
Chile;-356.751;-715.430
Kazakhstan;480.196;669.237
Netherlands;523.676;49.041
Norway;604.720;84.689
Denmark;562.639;95.018
Jamaica;181.096;-772.975
Senegal;144.974;-144.524
Germany;511.657;104.515
Iceland;649.631;-190.208
Japan;362.048;1.382.529
New Zealand;-409.006;1.748.860
Lithuania;551.694;238.813
Guyana;48.604;-589.302
Russia;615.240;1.053.188
Indonesia;-0.7893;1.139.213
British Virgin Islands;184.207;-646.399
Brazil;-142.350;-519.253
Israel;310.461;348.516
Hawaii;207.961;-1.563.319
Romania;459.432;249.668
Panama;85.380;-807.821
Mexico;236.345;-1.025.528
Finland;619.241;257.482
Austria;475.162;145.501
Saint Vincent and The Grenadines;132.528;-611.970
Singapore;13.521;1.038.198
Moldova;474.116;283.699
Barbados;131.939;-595.432
Bahamas;250.343;-773.963
India;205.937;789.629
Portugal;393.999;-82.245
Stockholm;593.293;180.686
China;358.617;1.041.954
Somalia;51.521;461.996
Philippines;128.797;1.217.740
